"","0h_01","0h_02","0h_03","0h_04","0h_05","0h_06","4h_01","4h_02","4h_03","4h_04","4h_05","4h_06","24h_01","24h_02","24h_03","24h_04","24h_05","24h_06"
"A0A0G2JGP4",25.36707306,25.1991291,26.11793137,26.12906075,26.34241867,26.26348877,25.89191818,25.69099045,25.91950417,25.96499252,24.96742249,26.22962189,24.60001183,26.0655632,25.80990219,24.41137695,26.08624458,25.01356888
"Q3UYM1",26.17375183,26.1666832,26.16875076,26.1737709,26.24733353,26.46962547,26.50739479,26.48442268,26.63533401,26.87771416,26.52723694,26.97278976,26.6936512,26.71358299,26.57888222,26.70186996,26.83737755,26.73995399
"Q8VDT3",26.03481483,26.5886364,25.9535141,24.51482391,24.96743774,26.00934601,26.42051697,25.87229919,25.85014534,26.14374924,26.20314407,26.63367271,26.24583054,26.58003426,26.75849915,26.68043137,26.7202549,26.98239708
"E9Q1T1",28.04286003,28.28475952,27.9174099,28.08491707,28.37152481,28.13829041,28.04499817,28.0823307,28.11008453,28.30059814,28.11167717,27.92433739,28.28977966,28.46509361,28.37031937,28.34409523,28.39059067,28.34036446
"K3W4P2",25.90226173,25.99146461,26.01159859,25.94216919,25.89589882,25.84876251,24.4133873,24.36937714,25.80254936,25.73122597,23.64502907,24.53610992,25.88746262,25.59657097,24.95750618,25.71319008,25.4758606,24.07245255
"Q3U6F1",25.01381302,24.13869286,25.35877228,23.77409554,24.85708618,23.80854225,25.40885735,24.66482544,23.835392,24.57048225,23.71364212,25.35319519,24.43180847,25.17953491,25.35090446,25.17028618,25.25860977,24.83380318
"A0A0J9YTY0",28.71787071,28.50305557,28.73000717,28.25376701,28.5306263,28.4985733,28.73198318,28.7371521,28.70898819,28.99331856,28.58649063,29.14564514,28.66448212,28.74832726,28.86732292,28.84137154,28.76528168,28.88733482
"A0A0J9YU62",28.67683983,28.83523941,28.68317986,28.71662903,28.82438469,28.77893829,28.65839958,28.57927895,28.94329834,28.77281761,28.75197029,28.70987511,28.91769409,28.93943596,28.80897522,28.90155983,28.74736786,28.78188133
"Q8C7C4",31.34905243,31.14534187,31.53468513,31.19554138,31.301548,31.4521389,31.88961411,31.91893959,31.90892029,32.31718826,31.88729095,32.02970123,31.77560806,31.87708473,31.76133156,31.79083252,31.79009438,31.84752274
"Q99LE7",25.49338341,26.06745148,25.43323135,25.06779671,24.58943558,24.37128639,24.98202896,25.83735275,23.98861504,24.27028084,24.42114449,25.20315361,24.94776344,23.83389664,25.37771606,24.04141235,23.96568298,24.6867981
